"id","tracker_message_id","tracker_tag_id","tag_type","value","message_tag_boolean_value","message_tag_byte_value","message_tag_date_time_value","message_tag_double_value","message_tag_integer_value","message_tag_string_value","is_fallback","sensor_id"
9200816,358151,10,3,NULL,NULL,7,NULL,NULL,NULL,NULL,False,NULL
9200817,358151,28,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9200818,358151,29,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9200819,358151,30,3,NULL,NULL,64,NULL,NULL,NULL,NULL,False,NULL
9200820,358151,31,3,NULL,NULL,134,NULL,NULL,NULL,NULL,False,NULL
9200821,358151,32,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9200822,358151,33,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9200823,358151,6,7,NULL,NULL,NULL,"2023-08-21 14:05:02+00",NULL,NULL,NULL,False,NULL
9200824,358151,101,4,NULL,NULL,NULL,NULL,53.204378,NULL,NULL,False,NULL
9200825,358151,100,4,NULL,NULL,NULL,NULL,50.149348,NULL,NULL,False,NULL
9200826,358151,120,4,NULL,NULL,NULL,NULL,10.1,NULL,NULL,False,NULL
9200827,358151,121,4,NULL,NULL,NULL,NULL,195.3,NULL,NULL,False,NULL
9200828,358151,4,1,NULL,NULL,NULL,NULL,NULL,2717,NULL,False,NULL
9200829,358151,5,1,NULL,NULL,NULL,NULL,NULL,15928,NULL,False,NULL
9200830,358151,102,1,NULL,NULL,NULL,NULL,NULL,0,NULL,False,NULL
9200831,358151,103,1,NULL,NULL,NULL,NULL,NULL,15,NULL,False,NULL
9200832,358151,9,1,NULL,NULL,NULL,NULL,NULL,120,NULL,False,NULL
9200833,358151,11,1,NULL,NULL,NULL,NULL,NULL,14849,NULL,False,NULL
9200834,358151,12,1,NULL,NULL,NULL,NULL,NULL,13859,NULL,False,NULL
9200835,358151,13,1,NULL,NULL,NULL,NULL,NULL,3791,NULL,False,NULL
9200836,358151,14,1,NULL,NULL,NULL,NULL,NULL,36,NULL,False,NULL
9200837,358151,110,1,NULL,NULL,NULL,NULL,NULL,38,NULL,False,NULL
9200838,358151,111,1,NULL,NULL,NULL,NULL,NULL,57,NULL,False,NULL
9200839,358151,112,1,NULL,NULL,NULL,NULL,NULL,1458,NULL,False,NULL
9200840,358151,27,1,NULL,NULL,NULL,NULL,NULL,37242,NULL,False,NULL
9200841,358151,3,6,NULL,NULL,NULL,NULL,NULL,NULL,"869688052070838",False,NULL
9200842,358152,10,3,NULL,NULL,7,NULL,NULL,NULL,NULL,False,NULL
9200843,358152,28,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9200844,358152,29,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9200845,358152,30,3,NULL,NULL,64,NULL,NULL,NULL,NULL,False,NULL
9200846,358152,31,3,NULL,NULL,136,NULL,NULL,NULL,NULL,False,NULL
9200847,358152,32,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9200848,358152,33,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9200849,358152,6,7,NULL,NULL,NULL,"2023-08-21 14:05:01+00",NULL,NULL,NULL,False,NULL
9200850,358152,101,4,NULL,NULL,NULL,NULL,53.204403,NULL,NULL,False,NULL
9200851,358152,100,4,NULL,NULL,NULL,NULL,50.149358,NULL,NULL,False,NULL
9200852,358152,120,4,NULL,NULL,NULL,NULL,10.7,NULL,NULL,False,NULL
9200853,358152,121,4,NULL,NULL,NULL,NULL,211.6,NULL,NULL,False,NULL
9200854,358152,4,1,NULL,NULL,NULL,NULL,NULL,2717,NULL,False,NULL
9200855,358152,5,1,NULL,NULL,NULL,NULL,NULL,15927,NULL,False,NULL
9200856,358152,102,1,NULL,NULL,NULL,NULL,NULL,0,NULL,False,NULL
9200857,358152,103,1,NULL,NULL,NULL,NULL,NULL,15,NULL,False,NULL
9200858,358152,9,1,NULL,NULL,NULL,NULL,NULL,121,NULL,False,NULL
9200859,358152,11,1,NULL,NULL,NULL,NULL,NULL,14849,NULL,False,NULL
9200860,358152,12,1,NULL,NULL,NULL,NULL,NULL,13867,NULL,False,NULL
9200861,358152,13,1,NULL,NULL,NULL,NULL,NULL,3791,NULL,False,NULL
9200862,358152,14,1,NULL,NULL,NULL,NULL,NULL,36,NULL,False,NULL
9200863,358152,110,1,NULL,NULL,NULL,NULL,NULL,38,NULL,False,NULL
9200864,358152,111,1,NULL,NULL,NULL,NULL,NULL,57,NULL,False,NULL
9200865,358152,112,1,NULL,NULL,NULL,NULL,NULL,1462,NULL,False,NULL
9200866,358152,27,1,NULL,NULL,NULL,NULL,NULL,37242,NULL,False,NULL
9200867,358152,3,6,NULL,NULL,NULL,NULL,NULL,NULL,"869688052070838",False,NULL
9201110,358162,10,3,NULL,NULL,7,NULL,NULL,NULL,NULL,False,NULL
9201111,358162,28,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9201112,358162,29,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9201113,358162,30,3,NULL,NULL,64,NULL,NULL,NULL,NULL,False,NULL
9201114,358162,31,3,NULL,NULL,134,NULL,NULL,NULL,NULL,False,NULL
9201115,358162,32,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9201116,358162,33,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9201117,358162,6,7,NULL,NULL,NULL,"2023-08-21 14:05:03+00",NULL,NULL,NULL,False,NULL
9201118,358162,101,4,NULL,NULL,NULL,NULL,53.204353,NULL,NULL,False,NULL
9201119,358162,100,4,NULL,NULL,NULL,NULL,50.149345,NULL,NULL,False,NULL
9201120,358162,120,4,NULL,NULL,NULL,NULL,9.8,NULL,NULL,False,NULL
9201121,358162,121,4,NULL,NULL,NULL,NULL,186.8,NULL,NULL,False,NULL
9201122,358162,4,1,NULL,NULL,NULL,NULL,NULL,2717,NULL,False,NULL
9201123,358162,5,1,NULL,NULL,NULL,NULL,NULL,15929,NULL,False,NULL
9201124,358162,102,1,NULL,NULL,NULL,NULL,NULL,0,NULL,False,NULL
9201125,358162,103,1,NULL,NULL,NULL,NULL,NULL,15,NULL,False,NULL
9201126,358162,9,1,NULL,NULL,NULL,NULL,NULL,120,NULL,False,NULL
9201127,358162,11,1,NULL,NULL,NULL,NULL,NULL,14849,NULL,False,NULL
9201128,358162,12,1,NULL,NULL,NULL,NULL,NULL,13947,NULL,False,NULL
9201129,358162,13,1,NULL,NULL,NULL,NULL,NULL,3791,NULL,False,NULL
9201130,358162,14,1,NULL,NULL,NULL,NULL,NULL,36,NULL,False,NULL
9201131,358162,110,1,NULL,NULL,NULL,NULL,NULL,38,NULL,False,NULL
9201132,358162,111,1,NULL,NULL,NULL,NULL,NULL,57,NULL,False,NULL
9201133,358162,112,1,NULL,NULL,NULL,NULL,NULL,1460,NULL,False,NULL
9201134,358162,27,1,NULL,NULL,NULL,NULL,NULL,37242,NULL,False,NULL
9201135,358162,3,6,NULL,NULL,NULL,NULL,NULL,NULL,"869688052070838",False,NULL
9201216,358166,10,3,NULL,NULL,7,NULL,NULL,NULL,NULL,False,NULL
9201217,358166,28,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9201218,358166,29,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9201219,358166,30,3,NULL,NULL,64,NULL,NULL,NULL,NULL,False,NULL
9201220,358166,31,3,NULL,NULL,136,NULL,NULL,NULL,NULL,False,NULL
9201221,358166,32,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9201222,358166,33,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9201223,358166,6,7,NULL,NULL,NULL,"2023-08-21 14:05:08+00",NULL,NULL,NULL,False,NULL
9201224,358166,101,4,NULL,NULL,NULL,NULL,53.204205,NULL,NULL,False,NULL
9201225,358166,100,4,NULL,NULL,NULL,NULL,50.14931,NULL,NULL,False,NULL
9201226,358166,120,4,NULL,NULL,NULL,NULL,12.7,NULL,NULL,False,NULL
9201227,358166,121,4,NULL,NULL,NULL,NULL,189.7,NULL,NULL,False,NULL
9201228,358166,4,1,NULL,NULL,NULL,NULL,NULL,2717,NULL,False,NULL
9201229,358166,5,1,NULL,NULL,NULL,NULL,NULL,15930,NULL,False,NULL
9201230,358166,102,1,NULL,NULL,NULL,NULL,NULL,0,NULL,False,NULL
9201231,358166,103,1,NULL,NULL,NULL,NULL,NULL,14,NULL,False,NULL
9201232,358166,9,1,NULL,NULL,NULL,NULL,NULL,118,NULL,False,NULL
9201233,358166,11,1,NULL,NULL,NULL,NULL,NULL,14849,NULL,False,NULL
9201234,358166,12,1,NULL,NULL,NULL,NULL,NULL,13762,NULL,False,NULL
9201235,358166,13,1,NULL,NULL,NULL,NULL,NULL,3791,NULL,False,NULL
9201236,358166,14,1,NULL,NULL,NULL,NULL,NULL,36,NULL,False,NULL
9201237,358166,110,1,NULL,NULL,NULL,NULL,NULL,38,NULL,False,NULL
9201238,358166,111,1,NULL,NULL,NULL,NULL,NULL,58,NULL,False,NULL
9201239,358166,112,1,NULL,NULL,NULL,NULL,NULL,1632,NULL,False,NULL
9201240,358166,27,1,NULL,NULL,NULL,NULL,NULL,37242,NULL,False,NULL
9201241,358166,3,6,NULL,NULL,NULL,NULL,NULL,NULL,"869688052070838",False,NULL
9201296,358169,10,3,NULL,NULL,8,NULL,NULL,NULL,NULL,False,NULL
9201297,358169,28,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9201298,358169,29,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
